smiles,logSolubility
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.184
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35
NC(=N)NS(=O)(=O)c1ccc(N)cc1,-1.99
CCCC(O)CCC,-1.4
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16
C=Cc1ccccc1,-2.82
CC(C)(C)CO,-0.4
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.638
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
Ic1cccc2ccccc12,-4.55
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
CCCC(=O)CCC,-1.3
C1CCCCCC1,-3.51
OC1CCCCCCC1,-1.29
CC(C)=CCCC(C)=CC(=O),-2.06
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
CCCCCC(=O)OC,-1.87
Clc1ccc(cc1)c2ccc(Cl)cc2,-6.56
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
ClCCBr,-1.32
Cc1cccc(c1)N(=O)=O,-2.44
Nc1ccccc1,-0.41
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl,-7.42
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003
CCOC(=O)c1ccccc1,-2.32
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
c2ccc1[nH]nnc1c2,-0.78
c1ccc2ccccc2c1,-3.6
CCCCCCCO,-1.81
CCCCCCCl,-3.12
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
Oc1ccccc1N(=O)=O,-1.74
Cc1ccccc1O,-0.62
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23,-4.871
CC12CCC(CC1)C(C)(C)O2,-1.64
CCCC(=C)C,-3.03
O=C1NC(=O)C(=O)N1,-0.4
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
CC1(C)C2CCC1(C)C(=O)C2,-1.96
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
CC(Cl)CCl,-1.6
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,-3.952
C1CCCC1,-2.64
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
CCCOC(=O)c1ccc(N)cc1,-2.452
CN(C)c1ccccc1,-1.92
CN(C)C(=O)C(c1ccccc1)c2ccccc2,-2.98
COc1ccc(C=O)cc1,-1.49
c1(OC)ccc(CC=C)cc1,-2.92
OCCOc1ccccc1,-0.7
CCCCCc1ccccc1,-4.64
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-9.15
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
c1ccc2c(c1)c3cccc4cccc2c34,-6.0
C1CCCCCCC1,-4.15
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
CCCCCC#C,-3.01
NC(=O)c1ccccc1O,-1.82
Cn1ccc(=O)[nH]c1=O,-0.807
NC(=O)NC1NC(=O)NC1=O,-1.6
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01
CCCCCCCCC(=O)OC,-3.38
Oc1c(I)cc(C#N)cc1I,-3.61
C1SC(=S)NC1(=O),-1.77
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,-2.22
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
COC(=O)c1ccccc1,-1.85
CCC(=O)OC,-0.14
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.86
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
OC1CCCCCC1,-0.88
CCOCCOCC,-0.77
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.8389999999999995
Clc1ccc(cc1)c2cc(Cl)ccc2Cl,-6.25
O=C2NC(=O)C1(CC1)C(=O)N2,-1.886
Cc1ccc2cc(C)ccc2c1,-4.89
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37
CC(C)c1ccc(C)cc1O,-2.22
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,-6.8
CCCCCCCC(=O)OC,-3.17
CC(C)=CCC/C(C)=C\CO,-2.46
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
ClC(Cl)(Cl)Cl,-2.31
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.5639999999999996
Cc1ccc2cc3ccccc3cc2c1,-6.96
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
CCOC(=O)CC,-0.66
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-5.46
CCCCCCBr,-3.81
Oc1cccc(Cl)c1,-0.7
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
FC(F)(Cl)C(F)(Cl)Cl,-3.04
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
N(=Nc1ccccc1)c2ccccc2,-4.45
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35
O=C(c1ccccc1)c2ccccc2,-3.12
C/C1CCC(\C)CC1,-4.47
CN(C)C=Nc1ccc(Cl)cc1C,-2.86
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
CCN(CC)c1ccccc1,-3.03
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
CCCCCC(=O)OCC,-2.35
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
ClC(Cl)C(Cl)(Cl)Cl,-2.6
Oc1ccccc1O,0.62
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
C/C1CCCCC1\C,-4.3
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
Cc1cc(C)c2ccccc2c1,-4.29
Clc1ccc(Br)cc1,-3.63
ClC(=C)Cl,-1.64
CC=C,-1.08
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
Cc1ncc(N(=O)=O)n1CCO,-1.26
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
c1cncnc1,1.1
Clc1cccc(c1)c2cc(Cl)ccc2Cl,-6.01
CCc1ccccc1CC,-3.28
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
NC(=S)N,0.32
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
CC1CCCO1,0.11
CC(C)Cc1ccccc1,-4.12
Nc1nc(=O)[nH]cc1F,-0.972
CCC(C)C(=O)C,-0.67
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CC(C)O,0.43
CC(=O)N,1.58
c2ccc1scnc1c2,-1.5
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
CCCC(O)C=C,-0.59
Oc1cccc2ccccc12,-2.22
CCc1cccc2ccccc12,-4.17
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
C1CCOCC1,-0.03
Oc1c(Cl)cccc1Cl,-1.79
COC(C)(C)C,-0.24
O2c1ccccc1N(C)C(=O)c3cccnc23,-3.672
CC(=C)C,-2.33
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
Cc1ccccc1N(=O)=O,-2.33
CCCCC(O)CC,-1.47
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48
CC(=O)C(C)(C)C,-0.72
Nc1ccccc1Cl,-1.52
Oc2ncc1nccnc1n2,-1.947
Oc1cc(Cl)cc(Cl)c1,-1.34
Sc2nc1ccccc1s2,-3.18
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,-2.9
CCCCCCc1ccccc1,-5.21
CC=C(C)C,-2.56
C1c2ccccc2c3ccccc13,-5.0
CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62
CCN(CC)C(=S)SCC(Cl)=C,-3.39
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
CCC,-1.94
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42
CC1CCCCC1,-3.85
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,-3.893
CCCCC#C,-2.36
CCCCCC(=O)C,-1.45
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
Cc1ncnc2nccnc12,-0.466
c3ccc2c(O)c1ccccc1cc2c3,-4.73
Clc1cccc(c1)N(=O)=O,-2.77
CCCCC(=O)C,-0.8
CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C,-5.24
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
Oc1ccccn1,1.02
Oc1ccc(Cl)cc1,-0.7
NC(N)=NC#N,-0.31
CCCC(C)(C)C,-4.36
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78
Cc1cccc(C)c1,-2.82
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
CC(=C)C=C,-2.03
NC(=O)c1cccnc1,0.61
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.83
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
C1Cc2ccccc2C1,-3.04
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7
CC=CC=O,0.32
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
FC(F)(F)C(Cl)Br,-1.71
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
Fc1cccc(F)c1,-2.0
CCCOC(=O)C,-0.72
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.6129999999999995
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
CCC=C,-1.94
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
BrCBr,-1.17
CCC1CCCCC1,-4.25
CCCCCCC(=O)OCC,-2.74
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
CCCCCCCCCCCCCCCCCCO,-8.4
c1ccoc1,-0.82
Sc1nccc(=O)[nH]1,-2.273
CCC(O)(CC)CC,-0.85
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
BrC(Br)(Br)Br,-3.14
ClCC,-1.06
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.6919999999999997
CCCCOC=O,-1.37
CCCCS,-2.18
CC(C)CO,0.1
Nc1ccc(cc1)N(=O)=O,-2.37
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,-3.73
CNc1ccccc1,-1.28
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
CCCCOC(=O)c1ccc(N)cc1,-3.082
CC(C)=CCCC(O)(C)C=C,-1.99
Clc1cc(Cl)cc(Cl)c1,-4.48
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.39
Cc1cc(C)c(C)c(C)c1C,-4.0
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
CCC(=O)C,0.52
